 "no comment"	无可奉告
 saddle horse	骑
 saliva	哈喇子	哈拉子
 same as 紅包|红包[hong2 bao1]	利事
 same feel	同感
 sanctimonious bitch	圣母婊
 sangha	僧伽
 satiny	滑腻
 sb new to a particular subject	菜鸟
 sb who look stun from behind	背影杀手	背杀
 scoundrel	赤佬
 scramble egg	摊黄菜
 screech	嚓	嚓嚓
 screech of a sudden stop	嘎然
 screen	屏
 second	秒钟
 second only to father	亚父
 second spring	第二春
 section-level	科级
 security guard	保全员
 see 伊麵|伊面[yi1 mian4]	意面
 see 嘰哩咕嚕|叽哩咕噜[ji1 li5 gu1 lu1]	机哩瓜拉
 see 於是|于是[yu2 shi4]	于焉
 see 陣子|阵子[zhen4 zi5]	程子
 seedling stage	苗期
 self-important	臭屁
 sell well	走俏
 semen	㞞
 semifinal or quarterfinal	复赛
 sensitivity	灵敏度
 sentence-final particle express a doubt attitude	居
 separate from one another	离散
 separately	另行
 sequela	后遗症
 sequencing	测序
 series	级数
 serious	大条
 servant hire to keep guard, run errand etc	家丁
 serve sb right	活该
 service charge	资费
 service provider	服务提供商
 set	布景
 shadow	阴影
 shaker	调酒器
 shame	羞耻
 shame on you!	羞羞脸
 sharp	觺
 sharp and clear-cut	有棱有角
 sharp-tongued	嘴损
 sheet	被单
 shitizen	P民	屁民
 shiver	栗然
 shock	雷人
 shoe last	楦
 shoot!	我勒个去
 short in stature	五短身材
 shortcut	快捷方式
 shortcut key	快捷键
 shot	散弹
 shrewd	猴儿精
 shrike	虎不拉
 sideways	侧身
 sigh voice	唉唉
 sign	体征
 sign made of weave weeds, place on an object, an animal or a person, indicate that it be for sale.	草标
 silk	绸
 silk floss	绵子
 silly	没溜儿
 silly but amuse person	逗比
 silly girl	丫头片子
 simpleton	憨子
 simultaneous equation	方程组
 since	自打
 single-morpheme word	单纯词
 sister	姊妹
 six excess cause illness, namely: excessive wind 風|风[feng1], cold 寒[han2], heat 暑[shu3], damp 濕|湿[shi1], dryness 燥[zao4], fire 火[huo3]	六淫
 six unhealthy influence cause illness, namely: excessive wind 風|风[feng1], cold 寒[han2], heat 暑[shu3], damp 濕|湿[shi1], dryness 燥[zao4], fire 火[huo3]	六邪
 sky	云霄
 slam	砰砰
 sleep paralysis	鬼压床
 slender	婧
 slide board	滑梯
 slim	苗条
 slither	哧溜
 slot advertisement	盖台广告
 slow	卡顿
 slow in speech	讱
 smack the lip	吧唧吧唧
 small as a mite	点大
 small child	倪
 snack food	零吃
 snail	水牛儿
 snake	长虫
 snap	嚓
 snore	呼噜
 so	合着
 software	软件
 soldier boy	阿兵哥
 solo	独唱
 some day	赶明儿
 something fishy	猫腻
 son of a bitch	龟孙子
 sound of a crash	哗啦
 sound of arrow	髇
 sound of caw	哑
 sound of cough or vomit	喀
 sound of drip water, a tick clock etc	嘀
 sound of friction of fabric	綷縩
 sound of frogs, duck etc	呱呱
 sound of knock or burst	毕毕剥剥
 sound of machinery, e.g. squeak	轧轧
 sound of object fall into water	啪哒	扑通
 sound of pant	呼哧
 sound of rain, sleet etc	淅
 sound of singing, cheer etc	啦
 sound of the wind or the breathe of sb who be sound asleep	呼呼
 sound of thunder	磤
 sound of water	濍
 sound of wind, rain etc	喇
 source and direction of flow	源流
 sovereign	君长
 sow and reap	稼穑
 sparrow	家雀儿	老家贼
 speak	辐条
 spear	矠
 special force	特种部队
 spectre	魔影
 speed horse	奔马
 spell	魔咒
 spider	蛛蛛
 spindle	锭
 spineless coward	窝囊废
 spoil city girl from a rich family	孔雀女
 sport bet	赌球
 spotlight	追光灯
 spread far and wide	远扬
 spread its tail	开屏
 squarely in the middle	拦腰
 squish sound	吧唧
 staff	五线谱
 stake	标桩
 stamp	邮票	邮花
 stand like a wall	壁立
 stand or permanent	常设
 standard	标准
 standard deviation	标准差
 star	恒星
 starch	小粉
 station in Beijing	驻京
 station in Hong Kong	驻港
 stative verb	状态动词
 statue	塑像
 stepmother	后妈
 stick	棁
 sticky	黏答答
 sticky rice ball	麻糬
 still	兀自	犹自
 still attractive	风韵犹存
 stingy	抠门儿	鸡贼
 stolon	匍匐茎
 stone that can be roll down onto an attack enemy	礌石
 store	门店
 stork	雚
 stout	富态
 straightforward	阿莎力
 strain	毒株
 strange	日怪	陌路
 straw	吸管
 stress	应激反应
 strip of land between hill	垭
 strong	喷
 strong acid	镪水
 stubbled	拉碴
 student	学子
 stun leg	腿玩年
 stupefy	懵逼
 stupid	白目
 sty	针眼
 suave	婉转
 substation	变电站
 such as	诸如
 suddenly	倏忽	倏然
 supper	飧
 supply of grain to the public	米袋子
 surface	台面
 surge	浪涌
 surplus	顺差
 survival rate	存活率
 suspect	涉嫌人
 swan	白鹄
 sway gently	拂动
 swearword	三字经
 sweater	毛衣
 sweet potato	番薯
 sweet potato or yam	红苕
 sweet, naive young woman	傻白甜
 swish	唰
 switch	交换器
 sword	宝剑
 synthesis	合成法
 system of polynomial equation	多项式方程组
 tablet	书板
 tabletop model	台式
 tailfin	垂直尾翼
 tailplane	水平尾翼
 take care of everything; handle everything	面面俱到
 tanker	油船
 target	指标
 teach you a lesson	给你点颜色看看
 teacher	恩师
 teacher in charge of a class	班导	班导师
 tease	促狭
 temperature	体温
 temporarily	权时
 ten day	旬日
 tenderloin	牛柳
 tense	时态
 tent	帡幪
 tent form the office of a command officer	幕府
 terrorist	暴恐
 thank	感谢
 that who be in a rush to get marry	急婚族
 the continuum hypothesis	连续统假设
 the corner of one eye	余光
 the five forbid pungent vegetables: leek, scallion, garlic, rape and coriander	五荤
 the follow day	昱日
 the girl of your dream	心动女
 the next ...	后脚
 the original place	原地
 the palm of one hand	股掌
 the people	生灵
 the reward of one effort	熬头儿
 the road through Yangguan 陽關|阳关[Yang2 guan1]	阳关大道
 the seven kind of prescription 大方, 小方, 缓方, 急方, 奇方, 偶方 and 重方 or 复方	七方
 the situation be tense	风声紧
 the soft knife	软刀子
 the sound of a roll object	古鲁鲁
 the sun never set	太阳永不落
 the vast sky	长空
 the world of the live	浮世
 theory of function of a complex variable	复变函数论
 theory of function of a real variable	实变函数论
 thing	东东
 think	思维
 this way	恁般	恁么
 this year	今岁
 this, that	夫
 threesome	3P	三P	三人行
 throat	颏
 thud	咚咚	噔	扑腾
 thump	噔噔
 tick tock	嘀嗒
 ticket	戏票
 tight	严实
 tightly	严严实实
 time	久
 tinkle of gem	玱
 tinkle or jingle sound	叮叮
 title of the Tibetan Tufan ruler	赞普
 to a bereave family	赗
 to absorb oil	吃油
 to accompany	奉陪
 to ache	酸疼
 to act cute	装萌	卖萌
 to adhere strictly to the ethical precept	戒行
 to adorn oneself	妆
 to allow	开许
 to answer or reply to sb's question	答对
 to argue	驳嘴
 to arrest	逮
 to arrive	到货
 to ask for money	挡琅	挡郎	挡锒
 to ask to be let in on the pretext of check the water meter	查水表
 to attract bee and butterfly	招蜂引蝶
 to attract large audience	卖座
 to avoid	以防
 to backfire	逆火
 to bathe all thing	普照
 to be a good match	相契
 to be a good-for-nothing	不是东西
 to be a small token of one feeling	聊表寸心
 to be a true friend	够朋友
 to be behind bar	蹲苦窑
 to be burglarize	闹贼
 to be catch in a net	落网
 to be catch with steal or illegal good	人赃俱获
 to be check out the hottie	眼睛吃冰淇淋
 to be cocky	得瑟
 to be complete	告竣
 to be completely at ease	把心放在肚子里
 to be crowded, to go into, etc	込
 to be destroy	亡国
 to be do for	完蛋
 to be eager for	巴不得
 to be fiercely protective of one child	护犊子
 to be for rend	招租
 to be full of zeal	来劲
 to be give one freedom	从良
 to be harmonious	两情相悦
 to be impotent	倒阳
 to be in bud	含苞
 to be in labor	待产
 to be in mourn aft the death of a parent	丁忧	丁艰
 to be in the care of one relative	依亲
 to be incompetent	吃干饭
 to be involve in the case	涉案
 to be jealous	拈酸
 to be lose	耗失
 to be mar by a scar etc	破相
 to be move at the sight of good deed	随喜
 to be of help or use	济事
 to be of importance or to matt	碍事
 to be on duty for the week	值星
 to be on duty, keep an eye on thing	值守
 to be out of luck	喝凉水都塞牙	点儿背	点背
 to be pass on from teacher to students, one generation to another, abbr. for 薪盡火傳|薪尽火传[xin1 jin4 huo3 chuan2]	薪传
 to be pleasantly surprise	蘧然
 to be possess	卡到阴
 to be promote more than one grade or rank at a time	超迁
 to be reassure	释念
 to be reconcile	复合
 to be so bold as to	斗胆
 to be soak with sweat	溻
 to be the object of flattery	戴高帽子
 to be trifle with	等闲之辈
 to be unassured	无着
 to be very scare and on edge	提心吊胆
 to bear fruit	挂果
 to beat	㧰
 to beat it	闪人
 to beat sb up	海扁
 to beg	化缘
 to beg for food	募缘
 to begin	开演
 to begin school	开蒙
 to begin to dawn	麻麻亮
 to bend over	毛腰
 to bind	纚
 to bind one hair on come of age	结发
 to bite	咬钩
 to blame sb for sth	嗔着
 to blame the god and accuse other	怨天尤人
 to bless	祐
 to boil	沸腾	涫	滚沸	开锅
 to book	定舱
 to bow and utter polite phrase	唱喏
 to bowl a batsman out	投杀
 to break loose	褪套儿
 to bring bad luck	带赛
 to bring one child into a second marriage	拖油瓶
 to bring up	拉扯大
 to bring up child for the purpose of be look aft in old age	养儿防老
 to bubble	啵
 to build up one kidney yang	壮阳
 to bullshit	唬烂
 to burn	㶶
 to burn paper money as an offer	烧利市
 to burst out laugh	喷饭
 to cap in excrement	扣屎盔子
 to carry load rifle ready for an emergency	荷枪实弹
 to carry on	继述
 to cash	兑现
 to catch	逮
 to catch an adulterous couple in the act	堵床上
 to cause trouble for sb	添乱
 to celebrate in song	讴歌
 to censure	鄙斥
 to change gear	打档
 to change key	转调
 to change one residence	徙
 to chat	唠嗑	拉呱	拉话
 to chop	削球
 to clean up	粪除
 to clear memory	清零
 to clear up	放晴
 to cling to sb influential or famous	抱大腿
 to coerce sb	訄
 to collapse and lie flat	倒伏
 to come in quick succession	联翩
 to come into contact	交接
 to come of age	成丁
 to come through	传来
 to come to an end	收假
 to come to blow	干架
 to come together at lunar New Year's Eve	团年
 to commence	开打
 to compare favourably with man in term of ability, bravery etc	不让须眉
 to conclude	开交
 to confess	告解
 to consummate marriage	圆房
 to contain	盛装
 to continue in the same old rut	因循守旧
 to converge	汇流
 to cook in salt or sand, inside a seal pot	焗
 to cough	咳呛
 to count	算话
 to cover	壅蔽
 to crack	干裂
 to crackle and rattle	噼里啪啦
 to crash	崩盘
 to crash on startup	闪退
 to cry	咧咧
 to curse	诪
 to cut off	刌
 to dash against	冲	冲打
 to date sb	拍拖
 to dawdle	磨叽
 to death	往死里
 to decline	式微	败落
 to decorate use a pipe bag	挤花
 to defecate	解大手
 to defend	镇守
 to deflorate a prostitute	梳弄
 to delay	愆期
 to depart for	开赴
 to develop	显影
 to die	嗝儿屁	翘辫子
 to die out	失传
 to dispatch	发运
 to do a body search	抄靶子
 to do a bridge	下腰
 to do an outcall	出钟
 to do the dirty on another villein	黑吃黑
 to dominate one thought	熏心
 to dream of	梦想
 to drink	啜	歠
 to dry by a fire	煏
 to eat hot pot	打边炉
 to ebb or go out	落潮	退潮
 to ejaculate inside sb's mouth	口爆
 to elapse or pass	推移
 to eliminate	消弭
 to empty	散场
 to end	阕
 to engage in male homosexual practice	搞基
 to enjoy show off	爱现
 to enjoy various dish at the restaurant by order the food together and then share the cost	拼餐
 to enter	趐	驶入
 to escort the bride to the wed ceremony	迎娶
 to exchange	斢
 to extort	苟取
 to faint and see star	头昏目眩
 to fall	下挫
 to fall from a horse	落马
 to fall heavily	瓢泼而下
 to fall or drop in price	落价
 to fall through	吹台
 to fall through and stand expose	败露
 to fall to the gray and crash	坠毁
 to feel apologetic	负疚
 to ferment	酝酿
 to fester	溃脓
 to fight a one-sided battle	胜之不武
 to fight on the leitai	打擂台
 to fight to the death	死磕
 to fill the sky	漫天飞舞
 to fire blank shot	放空炮
 to fire sb	炒鱿鱼
 to fit together	咬合
 to flash the yellow light	亮黄灯
 to flirt	撩妹
 to fluctuate accord to the market	随行就市
 to fly	飞行
 to fly about in all direction	四溅
 to fly rapidly	卂
 to fly swiftly	鴥
 to fly upward	颉
 to follow local custom	走乡随乡
 to follow sb	尾缀
 to follow the right path	居正
 to gallop	腾骧
 to gaze in the air	望洋
 to get cross-eyed	挑花眼
 to get drunk	喝挂
 to get emotional	泪奔
 to get into trouble	摊事儿
 to get one just desert	也有今天
 to get one period	来M
 to get sack	回家吃自己
 to get shot even when lie down	躺着也中枪
 to get sleepy	犯困
 to get unjustly ridiculed, attacked, implicate in sth etc while just be present	躺枪
 to give	奉送
 to give a blowjob	哈棒
 to give a performance at a temple fair or on the street etc	撂地
 to give birth	下崽
 to give birth to a child	毓
 to give change	找赎
 to give financial support to relative of sb who have die or suffer serious injury	抚恤
 to gnaw	嘬	龁
 to go crazy	发神经
 to go from be an admirer to be a detractor	粉转黑
 to go from be indifferent to be a big fan	路转粉
 to go on a head-hunting expedition	出草
 to go out	熄火
 to go pee	上一号
 to go through sheer hell	活受罪
 to go to one head	上头
 to go to the toilet	撇条
 to grab money	搂钱
 to grant his wife a title and make his son heir to his title	封妻荫子
 to greet	奉迎
 to guide sb in the right direction	导正
 to hamper student progress	误人子弟
 to hang down and cover	披垂
 to hang oneself	自经
 to harden	垮脸
 to have a glib tongue	满嘴跑火车
 to have a graceful demeanour	娉婷
 to have a string break	断线
 to have a stroke of bad luck	点子背
 to have an affair	有一腿
 to have an audience with the Emperor	觐
 to have be through thick and thin together	穿一条裤子
 to have become fully fledge	翅膀硬了
 to have character	带种
 to have diarrhea	拉稀	拉肚子	跑肚	闹肚子
 to have intercourse	同房
 to have nice curve	前凸后翘
 to have no work to do	窝工
 to have serve several sentence	几进宫
 to have sex	啪啪啪	滚床单
 to have sex outdoors or in a public place	打野炮
 to have sth embarrass happen	出糗
 to have substance	言之有物
 to have swallow gunpowder	吃枪药
 to have take the wrong medicine	吃错药
 to have the right taste	是味儿
 to have tree with shade-giving foliage	绿树成荫
 to hesitate	媕婀
 to hide	囥
 to hiss	咝
 to hit sb	K人
 to hold in one hand	在握
 to hold sb by the elbow	掣肘
 to hold the successive post of	历任
 to holler	鬼叫
 to honor with one presence	光临
 to hook up for a one night stand	约炮
 to hoot or screech	鸮叫
 to hope for	冀	期冀
 to hunt for rich, attractive guy	钓凯子
 to hunt prostitute and their client	抓嫖
 to incubate	抱窝
 to indent	缩排	缩格
 to inform	奉告
 to inform by letter	函送
 to initialize	初始化
 to introduce a new plant variety	引种
 to invite to tea	请喝茶
 to irritate	惹毛
 to jabber	叽哩咕噜
 to joke	打棚	打镲	逗闷子
 to keep sb in suspense	吊胃口
 to keep time	走时
 to keep watch	坐镇
 to kick backward	尥蹶子
